location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-11-30,120.309,120.327,120.312,120.302,120.295,55.737,FALSE
Asia,2020-11-30,35.803,57.172,46.954,33.263,21.184,6.192,FALSE
North America,2020-11-30,107.088,107.088,107.088,107.088,107.088,75.039,FALSE
Oceania,2020-11-30,-18.72,-3.524,-10.331,-18.72,-24.457,2.26,FALSE
Africa,2020-12-07,21.761,69.773,37.713,16.198,-6.773,3.793,FALSE
Latin America and Caribbean,2020-12-07,111.332,112.272,111.332,109.285,108.155,78.008,FALSE
Europe,2020-12-07,128.657,128.676,128.66,128.65,128.643,60.352,FALSE
Asia,2020-12-07,37.107,59.044,48.704,34.629,22.202,6.432,FALSE
Oceania,2020-12-07,-18.795,-3.236,-10.195,-18.795,-24.642,2.269,FALSE
North America,2020-12-07,113.597,113.597,113.597,113.597,113.597,79.557,FALSE
Africa,2020-12-14,23.146,72.467,39.456,17.644,-5.683,3.97,FALSE
Latin America and Caribbean,2020-12-14,114.846,115.867,114.846,112.742,111.598,79.983,FALSE
Europe,2020-12-14,136.429,136.448,136.432,136.422,136.415,64.91,FALSE
Asia,2020-12-14,38.277,60.855,50.154,35.692,23.128,6.656,FALSE
North America,2020-12-14,120.105,120.105,120.105,120.105,120.105,84.435,FALSE
Oceania,2020-12-14,-18.579,-2.651,-9.776,-18.579,-24.412,2.309,FALSE
Africa,2020-12-21,24.785,75.594,42.04,19.312,-4.176,4.172,FALSE
Latin America and Caribbean,2020-12-21,118.785,119.877,118.785,116.637,115.444,82.144,FALSE
Europe,2020-12-21,143.989,144.008,143.991,143.981,143.974,69.634,FALSE
Asia,2020-12-21,39.31,62.473,51.586,36.787,23.816,6.871,FALSE
Oceania,2020-12-21,-18.294,-1.989,-9.307,-18.294,-24.224,2.334,FALSE
North America,2020-12-21,126.893,126.893,126.893,126.893,126.893,89.743,FALSE
Africa,2020-12-28,26.796,78.585,44.816,21.476,-2.002,4.44,FALSE
Latin America and Caribbean,2020-12-28,123.386,124.51,123.386,121.175,120.014,84.15,FALSE
Europe,2020-12-28,151.586,151.606,151.588,151.578,151.571,73.771,FALSE
Asia,2020-12-28,40.708,64.702,52.996,38.278,24.93,7.073,FALSE
